"approval-date","reimbursement-id","case-id","amazon-order-id","reason","sku","fnsku","asin","product-name","condition","currency-unit","amount-per-unit","amount-total","quantity-reimbursed-cash","quantity-reimbursed-inventory","quantity-reimbursed-total","original-reimbursement-id","original-reimbursement-type"
"2025-02-17T06:35:21+00:00","6755202162",,,"Lost_Warehouse","TUBOX4-CRY-SB","X001PQP7KJ","B0BTDS4GYS","TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör","NewItem","EUR","13.46","13.46","1","0","1",,
"2025-02-17T05:21:56+00:00","6754690772",,,"Lost_Warehouse","TUBOX3-PINK","X001PQRHT3","B0BTDTN52N","TUBOPLUS TuboX3 Color Presurizador de Pelotas de Tenis y Padel | Color Rosa","NewItem","EUR","9.77","9.77","1","0","1",,
"2025-02-17T03:18:12+00:00","6754420152",,,"Lost_Warehouse","TUBOX4-CRY-SB","X001PQP7KJ","B0BTDS4GYS","TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables","NewItem","EUR","11.99","11.99","1","0","1",,
"2025-02-16T03:56:00+00:00","6751035382",,,"Lost_Warehouse","IB-IKLG-TV8H","X000GERVU5","B0183RZ2VI","TUBOPLUS- TUBOX3 Naranja 2020 Bote Presurizador de Pelotas de Tenis y Padel - Ahorra Bolas por un Tubo!! - Más Vida para Tus Bolas – Made in Zaragoza-Spain –","NewItem","EUR","8.27","8.27","1","0","1",,
"2025-02-15T22:30:57+00:00","6750177242",,"405-7443867-0833115","CustomerReturn","MK-78DJ-J0C2","X0020AR9P5","B0D22R7L7D","TUBOPLUS 29PSI X3e (No Incluye Bomba de Aire)","NewItem","EUR","21.21","21.21","1","0","1",,
"2025-02-15T05:17:35+00:00","6747899842",,,"Lost_Warehouse","JW-4PNV-18BT","X001ZWRDZP","B0CZMGFD3S","TUBOPLUS 29PSI X3e (pompe à air incluse)","NewItem","EUR","26.57","26.57","1","0","1",,
"2025-02-14T21:54:13+00:00","6746956742",,"403-8350639-2405965","CustomerReturn","MK-78DJ-J0C2","X0020AR9P5","B0D22R7L7D","TUBOPLUS 29PSI X3e (No Incluye Bomba de Aire)","NewItem","EUR","21.21","21.21","1","0","1",,
"2025-02-12T20:01:50+00:00","6739256672",,"402-4656533-0538743","CustomerReturn","35-DQ86-IJB4","X001D1A0DZ","B09266N893","TUBOPLUS TuboX3 - Pompa Crystal con Manometro Beto, Pressurizzatore per Palline Da Tennis e Paddle","NewItem","EUR","24.20","24.20","1","0","1",,
"2025-02-11T10:48:10+00:00","6734705432",,,"Reimbursement_Reversal","UG-965T-RORR","X0013ZBBK7","B07ZTHSVCK","TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel","NewItem","EUR","-22.31","-22.31","-1","1","0","6732653552","CustomerReturn"
"2025-02-10T20:25:28+00:00","6732653552",,"407-0531310-9029926","CustomerReturn","UG-965T-RORR","X0013ZBBK7","B07ZTHSVCK","TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel","NewItem","EUR","22.31","22.31","1","0","1",,
"2025-02-06T01:04:41+00:00","6717617642",,"404-0925334-3901160","CustomerReturn","4R-VSV0-WZ9Z","X00231GYQL","B0D87X42RN","TUBOPLUS TuboX3 Color Presurizador de Pelotas de Tenis y Padel | Color Dorado","NewItem","EUR","9.66","9.66","1","0","1",,
"2025-02-05T17:25:27+00:00","6716597822",,"404-0925334-3901160","CustomerReturn","4R-VSV0-WZ9Z","X00231GYQL","B0D87X42RN","TUBOPLUS TuboX3 Color Presurizador de Pelotas de Tenis y Padel | Color Dorado","NewItem","EUR","9.66","9.66","1","0","1",,
"2025-02-05T16:30:56+00:00","6716861132",,"406-4926111-6648303","CustomerReturn","TUBOX3-WHI","X001PQP7JP","B0BTDTVCG2","TUBOPLUS TuboX3 Color Presurizador de Pelotas de Tenis y Padel | Color Blanco","NewItem","EUR","8.37","8.37","1","0","1",,
"2025-02-01T05:50:39+00:00","6702399592",,"404-1562108-9209952","CustomerReturn","35-DQ86-IJB4","X001D1A0DZ","B09266N893","TUBOPLUS 35-DQ86-IJB4 Pressuriseur de Balles pour Tennis et Padel Adulte Unisexe, Transparent, 3 Boules","NewItem","EUR","20.26","20.26","1","0","1",,
"2025-01-30T21:59:26+00:00","6698261792",,"408-9822095-1375515","CustomerReturn","MD-R60M-OYR1","X002326XGB","B0786KK4TG","TuboPlus- TUBOX3 BLU 2020 Pallina da tennis e paddle Pressurizer Bottle - Salva le palle da un tubo !! - Più vita per le tue palle - Made in Zaragoza -Spain -","NewItem","EUR","9.39","9.39","1","0","1",,
"2025-01-27T12:53:59+00:00","6685185612",,,"Reimbursement_Reversal","UG-965T-RORR","X0013ZBBK7","B07ZTHSVCK","TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel","NewItem","EUR","-20.64","-20.64","-1","1","0","6459889592","CustomerReturn"
"2025-01-27T02:27:37+00:00","6683723062",,"171-6928426-3075534","CustomerReturn","JW-4PNV-18BT","X001ZWRDZP","B0CZMGFD3S","TUBOPLUS 29PSI X3e (include pompa d'aria)","NewItem","EUR","27.33","27.33","1","0","1",,
"2025-01-25T05:37:50+00:00","6677035522",,,"Lost_Warehouse","JW-4PNV-18BT","X001ZWRDZP","B0CZMGFD3S","TUBOPLUS 29PSI X3e (include pompa d'aria)","NewItem","EUR","27.33","27.33","1","0","1",,
"2025-01-24T14:48:50+00:00","6675092142",,"407-6403972-8731560","CustomerReturn","JW-4PNV-18BT","X001ZWRDZP","B0CZMGFD3S","TUBOPLUS 29PSI X3e (Incluye Bomba de Aire)","NewItem","EUR","26.30","26.30","1","0","1",,
"2025-01-22T03:14:28+00:00","6661001092",,"406-2949012-1973938","CustomerReturn","35-DQ86-IJB4","X001D1A0DZ","B09266N893","TUBOX3 + Bomba - Presurizador Pelotas Pádel | Multiplica X7 La Vida De Tus Pelotas | Recupera La Presión De Tus Bolas Después De Cada Partido | Bote para 3 Pelotas | Accesorios Pádel","NewItem","EUR","17.74","17.74","1","0","1",,
"2025-01-19T18:26:26+00:00","6651705412",,"408-1389524-5650752","CustomerReturn","amzn.gr.35-DQ86-IJB4-fTLSzi4gJVA4QQTp-LN","X0026LL7KV","B09266N893","TUBOPLUS 35-DQ86-IJB4 Pressuriseur de Balles pour Tennis et Padel Adulte Unisexe, Transparent, 3 Boules","UsedLikeNew","EUR","14.83","14.83","1","0","1",,
"2025-01-19T15:57:16+00:00","6651585512",,"403-4138507-7237103","CustomerReturn","TUBOX3-PINK","X001PQRHT3","B0BTDTN52N","TUBOPLUS TuboX3 Color Pressurizzatore per palline da tennis e paddle | colore rosa","NewItem","EUR","9.39","9.39","1","0","1",,
"2025-01-19T03:35:18+00:00","6649112182",,,"Lost_Warehouse","TUBOX3-WHI","X001PQP7JP","B0BTDTVCG2","TUBOPLUS TuboX3 Color Presurizador de Pelotas de Tenis y Padel | Color Blanco","NewItem","EUR","8.02","8.02","1","0","1",,
