"asin","fnsku","product_name","fulfillment_center","country_code","longest_side","median_side","shortest_side","measurement_units","weight","weight_units","item_volume","volume_units","product_size_tier","average_quantity_on_hand","average_quantity_pending_removal","estimated_total_item_volume","month_of_charge","storage_utilization_ratio","storage_utilization_ratio_units","base_rate","utilization_surcharge_rate","avg_qty_for_sus","est_vol_for_sus","est_base_msf","est_sus","currency","estimated_monthly_storage_fee","category","eligible_for_inventory_discount","qualifies_for_inventory_discount","total_incentive_fee_amount","breakdown_incentive_fee_amount","average_quantity_customer_orders"
"B07ZTHSVCK","X001T0EPOZ","TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel","BCN1","ES","30.9","8.4","8.4","centimeters","0.81","kilograms","0.0022","cubic meters","Standard-Size","0.32","0.0","5.0E-4","2025-02","3.7","weeks","27.54","0.0","0.11","2.0E-4","0.015","0.0","EUR","0.015","Others","N","N","0.0","--","0.07"
"B0D87X42RN","X00231GYQL","TUBOPLUS TuboX3 Color Presurizador de Pelotas de Tenis y Padel | Color Dorado","BCN1","ES","19.8","8.4","8.4","centimeters","0.3","kilograms","0.0014","cubic meters","Standard-Size","0.43","0.0","5.0E-4","2025-02","3.7","weeks","27.54","0.0","0.0","0.0","0.0151","0.0","EUR","0.0151","Others","N","N","0.0","--","0.04"
"B0786KK4TG","X002326XGB","TuboX3 Color | TuboPlus - Presurizador de Pelotas de Tenis y Padel | Color Azul","BCN1","ES","19.9","8.5","8.4","centimeters","0.31","kilograms","0.0014","cubic meters","Standard-Size","4.36","0.0","0.0058","2025-02","3.7","weeks","27.54","0.0","0.39","6.0E-4","0.1602","0.0","EUR","0.1602","Others","N","N","0.0","--","0.25"
"B0183RZ2VI","X000GERVU5","TUBOPLUS- TUBOX3 Naranja 2020 Bote Presurizador de Pelotas de Tenis y Padel - Ahorra Bolas por un Tubo!! - Más Vida para Tus Bolas – Made in Zaragoza-Spain –","BCN4","ES","20.0","9.0","9.0","centimeters","0.32","kilograms","0.0016","cubic meters","Standard-Size","14.75","0.0","0.0236","2025-02","3.7","weeks","27.54","0.0","14.57","0.0236","0.6508","0.0","EUR","0.6508","Others","N","N","0.0","--","0.18"
"B0BTDTVCG2","X001PQP7JP","TUBOPLUS TuboX3 Color Presurizador de Pelotas de Tenis y Padel | Color Blanco","BCN4","ES","20.2","8.3","8.1","centimeters","0.3","kilograms","0.0014","cubic meters","Standard-Size","2.25","0.0","0.0017","2025-02","3.7","weeks","27.54","0.0","1.29","0.0017","0.0481","0.0","EUR","0.0481","Others","N","N","0.0","--","0.96"
"B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables","BCN4","ES","31.2","8.4","8.4","centimeters","0.45","kilograms","0.0022","cubic meters","Standard-Size","0.71","0.0","0.0014","2025-02","3.7","weeks","27.54","0.0","0.64","0.0014","0.039","0.0","EUR","0.039","Others","N","N","0.0","--","0.07"
"B0D87X42RN","X00231GYQL","TUBOPLUS TuboX3 Color Presurizador de Pelotas de Tenis y Padel | Color Dorado","BCN4","ES","19.8","8.4","8.4","centimeters","0.3","kilograms","0.0014","cubic meters","Standard-Size","0.14","0.0","1.0E-4","2025-02","3.7","weeks","27.54","0.0","0.11","1.0E-4","0.0041","0.0","EUR","0.0041","Others","N","N","0.0","--","0.04"
"B0786KK4TG","X002326XGB","TuboX3 Color | TuboPlus - Presurizador de Pelotas de Tenis y Padel | Color Azul","BCN4","ES","19.9","8.5","8.4","centimeters","0.31","kilograms","0.0014","cubic meters","Standard-Size","4.75","0.0","0.0061","2025-02","3.7","weeks","27.54","0.0","4.29","0.0061","0.1679","0.0","EUR","0.1679","Others","N","N","0.0","--","0.46"
"B07ZTHSVCK","X0013ZBBK7","TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel","MAD4","ES","30.8","8.6","8.2","centimeters","0.6","kilograms","0.0022","cubic meters","Standard-Size","1.0","0.0","0.0022","2025-02","3.7","weeks","27.54","0.0","1.0","0.0022","0.0596","0.0","EUR","0.0596","Others","N","N","0.0","--","0.0"
"B07ZTHSVCK","X0013ZBBK7","TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel","MAD4","ES","30.8","8.6","8.2","centimeters","0.6","kilograms","0.0022","cubic meters","Standard-Size","0.25","0.0","5.0E-4","2025-02","3.7","weeks","27.54","0.0","0.11","2.0E-4","0.0149","0.0","EUR","0.0149","Others","N","N","0.0","--","0.0"
